id,source,target,tweet_id,type
BurcuKavak2287007Kripto,BurcuKavak2287,007Kripto,1546194117666930691,retweet
kadiralpay21007Kripto,kadiralpay21,007Kripto,1545755020586631169,retweet
ClarindexS01Noor2099,ClarindexS,01Noor2099,1553846265024233474,retweet
John_Corven_00701Noor2099,John_Corven_007,01Noor2099,1553881114216898560,retweet
odobehave06_niru,odobehave,06_niru,1548331139865006082,retweet
odobehaveRoryTDC,odobehave,RoryTDC,1552105909874315266,retweet
_NftCollectors0Historical,_NftCollectors,0Historical,1550486979011395585,retweet
kyosuzuki4th0Q2GXILxxBYEsEA,kyosuzuki4th,0Q2GXILxxBYEsEA,1546644999475175424,retweet
kyosuzuki4thodyssey3543,kyosuzuki4th,odyssey3543,1546644999475175424,quote
0Q2GXILxxBYEsEAodyssey3543,0Q2GXILxxBYEsEA,odyssey3543,1545765420527144960,quote
godfrey_G_0nlineHaber,godfrey_G_,0nlineHaber,1547479373208604672,retweet
godfrey_G_AllglobalNet,godfrey_G_,AllglobalNet,1549583010865246208,retweet
godfrey_G_Edvick_NFT,godfrey_G_,Edvick_NFT,1548772354666422273,retweet
godfrey_G_MuhammedGGur,godfrey_G_,MuhammedGGur,1550958241772933121,retweet
godfrey_G_RyanLouderMusic,godfrey_G_,RyanLouderMusic,1551577573959901184,retweet
godfrey_G_Serenacandis1,godfrey_G_,Serenacandis1,1549880565704294402,retweet
godfrey_G_prettybfloydshe,godfrey_G_,prettybfloydshe,1552094021954273280,retweet
godfrey_G_AndrewT23815267,godfrey_G_,AndrewT23815267,1556671399703576576,retweet
godfrey_G_AstroSmokey68,godfrey_G_,AstroSmokey68,1554080791617064960,retweet
godfrey_G_MaryMMiracle,godfrey_G_,MaryMMiracle,1554104424855109632,retweet
godfrey_G_NoahPaul777,godfrey_G_,NoahPaul777,1554233137139519488,retweet
godfrey_G_safarimani85,godfrey_G_,safarimani85,1554910775591960577,retweet
godfrey_G_stratorob,godfrey_G_,stratorob,1555027021167837184,retweet
godfrey_G_vishnupyatla,godfrey_G_,vishnupyatla,1556229067166318593,retweet
hamidkhan32560xDrSam,hamidkhan3256,0xDrSam,1553773822251335680,quote
EverGREENE_0xSynsitive,EverGREENE_,0xSynsitive,1549531567718023169,quote
Trent89_0xSynsitive,Trent89_,0xSynsitive,1549630767185006592,quote
cove198182890xSynsitive,cove19818289,0xSynsitive,1549549711022968833,quote
SeveNFTs0xdefinews,SeveNFTs,0xdefinews,1550050998286155776,quote
SeveNFTsAilsaForshaw,SeveNFTs,AilsaForshaw,1549360955154468865,quote
