subject,related_queries,value,keyword,category
100,top,netflix movies,netflix,0
73,top,series netflix,netflix,0
60,top,netflix film,netflix,0
60,top,serie netflix,netflix,0
55,top,movies on netflix,netflix,0
42,top,dahmer netflix,netflix,0
42,top,dahmer,netflix,0
34,top,netflix login,netflix,0
30,top,filme netflix,netflix,0
28,top,wednesday netflix,netflix,0
23,top,peliculas netflix,netflix,0
22,top,peliculas,netflix,0
22,top,best netflix movies,netflix,0
21,top,you netflix,netflix,0
20,top,netflix shows,netflix,0
20,top,jeffrey dahmer netflix,netflix,0
20,top,disney,netflix,0
19,top,jeffrey dahmer,netflix,0
18,top,download netflix,netflix,0
18,top,filmes netflix,netflix,0
17,top,watcher netflix,netflix,0
16,top,best movies on netflix,netflix,0
16,top,netflix movies 2022,netflix,0
15,top,the watcher,netflix,0
15,top,new on netflix,netflix,0
Breakout,rising,died suddenly netflix,netflix,0
Breakout,rising,from scratch netflix,netflix,0
Breakout,rising,from scratch,netflix,0
"+4,400%",rising,stutz netflix,netflix,0
"+4,300%",rising,blood sex and royalty netflix,netflix,0
"+4,300%",rising,who is the watcher netflix,netflix,0
"+4,250%",rising,who is the watcher,netflix,0
"+3,600%",rising,scratch netflix,netflix,0
"+3,400%",rising,inside man netflix,netflix,0
"+3,350%",rising,inside man,netflix,0
"+2,700%",rising,terrifier netflix,netflix,0
"+2,600%",rising,desde cero netflix,netflix,0
"+2,350%",rising,the mole netflix,netflix,0
"+2,350%",rising,harry and meghan netflix trailer,netflix,0
"+2,300%",rising,the mole,netflix,0
"+2,050%",rising,kaleidoscope netflix,netflix,0
"+1,950%",rising,the watcher,netflix,0
"+1,950%",rising,the watcher netflix,netflix,0
"+1,900%",rising,watcher netflix,netflix,0
"+1,850%",rising,28 days haunted netflix,netflix,0
"+1,550%",rising,killer sally netflix,netflix,0
"+1,400%",rising,harry and meghan netflix,netflix,0
"+1,350%",rising,the playlist netflix,netflix,0
"+1,250%",rising,the wonder netflix,netflix,0
"+1,200%",rising,cabinet of curiosities netflix,netflix,0
