created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable,lat,lng,coords_coords,bbox_coords,geo_coords
2022-12-07T22:34:46Z,1600619856231014400,1600619856231014404,"A. I love Scream2. It isn’t at the top of my list but I loved the thrill and experience when I saw it in the theatre. This episode reminded me of that. 

B. I love this guest list. 🔪🔪🔪 #Killer 

#RadPanel 
#Scream2 #Wednesday #Netflix https://t.co/twzxBcGom8",FALSE,234,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,4,FALSE,FALSE,FALSE,en,1600479460523851800,1600479460523851777,,"A. I love Scream2. It isn’t at the top of my list but I loved the thrill and experience when I saw it in the theatre. This episode reminded me of that. 

B. I love this guest list. 🔪🔪🔪 #Killer 

#RadPanel 
#Scream2 #Wednesday #Netflix https://t.co/twzxBcGom8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,27.937634,-82.8349015,"list(long = NA, lat = NA)","list(long = -82.8349015, lat = 27.937634)","list(long = NA, lat = NA)"
2022-12-07T22:31:50Z,1.6006191165991199e+18,1600619116599119872,With the #FIFAWorldCup on a break and #roykeane at a loose end could @itvfootball ask him to analyse the #HarryandMegan #netflix show.I’d say Roy would bring some unique insights,FALSE,178,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,With the #FIFAWorldCup on a break and #roykeane at a loose end could @itvfootball ask him to analyse the #HarryandMegan #netflix show.I’d say Roy would bring some unique insights,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,51.903863349999995,-9.0333067,"list(long = NA, lat = NA)","list(long = -9.0333067, lat = 51.90386335)","list(long = NA, lat = NA)"
2022-12-07T22:25:24Z,160061749922091e4,1600617499220910080,I wonder if #Farah #Netflix will get a mention at #Oscars 🤔🤷🏾‍♂️ https://t.co/N5HxftoA3j,FALSE,64,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,I wonder if #Farah #Netflix will get a mention at #Oscars 🤔🤷🏾‍♂️ https://t.co/N5HxftoA3j,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,51.560587,0.21058949999999999,"list(long = NA, lat = NA)","list(long = 0.2105895, lat = 51.560587)","list(long = NA, lat = NA)"
2022-12-07T22:12:51Z,1600614339169362e3,1600614339169361928,"I was watching this movie.
Yep. 💚
Nice.

It's a story about thieves...😁
And the honour among thieves.
Yeah...
And honest love too. 

Movie - #Focus 
#Netflix https://t.co/viqoFrWfH6",FALSE,157,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"I was watching this movie.
Yep. 💚
Nice.

It's a story about thieves...😁
And the honour among thieves.
Yeah...
And honest love too. 

Movie - #Focus 
#Netflix https://t.co/viqoFrWfH6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,21.585710749999997,39.25412865,"list(long = NA, lat = NA)","list(long = 39.25412865, lat = 21.58571075)","list(long = NA, lat = NA)"
2022-12-06T01:46:49Z,1599943412790485e3,1599943412790484992,This is going to be on #Netflix https://t.co/hGKITvW9ac,FALSE,31,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,This is going to be on #Netflix https://t.co/hGKITvW9ac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,32.1893905,-110.9155735,"list(long = NA, lat = NA)","list(long = -110.9155735, lat = 32.1893905)","list(long = NA, lat = NA)"
2022-12-06T01:45:21Z,1599943044370792400,1599943044370792448,#Netflix said #HarryandMeghanonNetflix https://t.co/rNPcr8iKdV,FALSE,38,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,#Netflix said #HarryandMeghanonNetflix https://t.co/rNPcr8iKdV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,41.7008805,-86.243063,"list(long = NA, lat = NA)","list(long = -86.243063, lat = 41.7008805)","list(long = NA, lat = NA)"
2022-12-06T00:35:13Z,1599925390977691600,1599925390977691648,Did some final touches on #proceate #wednesdayaddams #wednesdayadams #Netflix #netflix #wednesdayonnetflix #AddamsFamily #JennaOrtega #mixmediaart https://t.co/v02QHbVyoL,FALSE,146,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,20,FALSE,FALSE,FALSE,en,NA,NA,,Did some final touches on #proceate #wednesdayaddams #wednesdayadams #Netflix #netflix #wednesdayonnetflix #AddamsFamily #JennaOrtega #mixmediaart https://t.co/v02QHbVyoL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,26.24069,-98.2456743,"list(long = NA, lat = NA)","list(long = -98.2456743, lat = 26.24069)","list(long = NA, lat = NA)"
2022-12-06T00:28:11Z,1599923623749308400,1599923623749308416,"Yo si...
Sobre todo cuando no tengo más nada que hacer y tengo un cine a 2 cuadras de mi casa. Es como ver #Netflix en pantalla gigante. https://t.co/HKUUiJyLZs",FALSE,136,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,0,FALSE,FALSE,FALSE,es,1599777330310025200,1599777330310025216,,"Yo si...
Sobre todo cuando no tengo más nada que hacer y tengo un cine a 2 cuadras de mi casa. Es como ver #Netflix en pantalla gigante. https://t.co/HKUUiJyLZs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,10.4835391,-66.93064394999999,"list(long = NA, lat = NA)","list(long = -66.93064395, lat = 10.4835391)","list(long = NA, lat = NA)"
2022-12-06T00:26:36Z,1599923223797563400,1599923223797563392,"This #Netflix movie tells the true story of the stunning @YusraMardini, a young swimmer who fled war in Syria on a boat, and against all odds swam for the Olympics🎖️

Poignant &amp; powerful!

Proud of her &amp; anyone who overcomes misfortune to fuel their dreams
https://t.co/6JuTUjBRQj",FALSE,288,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,11,FALSE,FALSE,FALSE,en,NA,NA,,"This #Netflix movie tells the true story of the stunning @YusraMardini, a young swimmer who fled war in Syria on a boat, and against all odds swam for the Olympics🎖️

Poignant &amp; powerful!

Proud of her &amp; anyone who overcomes misfortune to fuel their dreams
https://t.co/6JuTUjBRQj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,34.0207895,-118.4119065,"list(long = NA, lat = NA)","list(long = -118.4119065, lat = 34.0207895)","list(long = NA, lat = NA)"
2022-12-06T00:13:45Z,1599919989946867700,1599919989946867712,"Enid Sinclair e Wednesdey addams
#EmmaMyers #JennaOrtega #Wandinha #wednesdayaddams #Netflix @NetflixBrasil @netflix @jennaortega https://t.co/nuYT1hAQm5",FALSE,129,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,cy,NA,NA,,"Enid Sinclair e Wednesdey addams
#EmmaMyers #JennaOrtega #Wandinha #wednesdayaddams #Netflix @NetflixBrasil @netflix @jennaortega https://t.co/nuYT1hAQm5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,-25.3102255,-52.3928135,"list(long = NA, lat = NA)","list(long = -52.3928135, lat = -25.3102255)","list(long = NA, lat = NA)"
