date,hits,keyword,geo,time,gprop,category
2022-10-01,100,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-02,96,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-03,77,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-04,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-05,71,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-06,71,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-07,78,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-08,91,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-09,98,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-10,77,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-11,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-12,70,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-13,72,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-14,80,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-15,100,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-16,100,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-17,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-18,74,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-19,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-20,71,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-21,78,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-22,93,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-23,96,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-24,74,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-25,70,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-26,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-27,70,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-28,81,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-29,90,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-30,94,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-31,77,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-01,78,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-02,75,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-03,71,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-04,81,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-05,91,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-06,92,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-07,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-08,64,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-09,62,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-10,63,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-11,75,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-12,87,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-13,89,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-14,67,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-15,67,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-16,68,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-17,67,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-18,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-19,93,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-20,88,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-21,67,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-22,63,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-23,67,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-24,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-25,74,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-26,93,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-27,95,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-28,78,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-29,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-11-30,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-01,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-02,79,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-03,97,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-04,99,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-05,74,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-06,69,netflix,world,2022-10-01 2022-12-07,web,0
2022-12-07,73,netflix,world,2022-10-01 2022-12-07,web,0
2022-10-01,100,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-02,90,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-03,62,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-04,58,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-05,59,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-06,62,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-07,68,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-08,73,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-09,77,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-10,66,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-11,57,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-12,55,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-13,57,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-14,62,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-15,72,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-16,72,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-17,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-18,51,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-19,49,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-20,56,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-21,56,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-22,63,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-23,69,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-24,50,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-25,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-26,51,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-27,51,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-28,58,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-29,62,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-30,67,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-31,61,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-01,58,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-02,54,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-03,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-04,58,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-05,64,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-06,68,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-07,46,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-08,49,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-09,46,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-10,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-11,60,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-12,70,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-13,72,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-14,54,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-15,55,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-16,57,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-17,68,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-18,70,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-19,83,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-20,77,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-21,64,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-22,55,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-23,54,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-24,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-25,57,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-26,68,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-27,64,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-28,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-29,51,disney plus,world,2022-10-01 2022-12-07,web,0
2022-11-30,50,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-01,52,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-02,56,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-03,64,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-04,69,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-05,50,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-06,47,disney plus,world,2022-10-01 2022-12-07,web,0
2022-12-07,53,disney plus,world,2022-10-01 2022-12-07,web,0
2022-10-01,92,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-02,100,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-03,69,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-04,69,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-05,67,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-06,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-07,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-08,81,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-09,85,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-10,69,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-11,74,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-12,64,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-13,63,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-14,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-15,85,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-16,87,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-17,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-18,67,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-19,60,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-20,61,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-21,61,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-22,73,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-23,76,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-24,64,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-25,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-26,62,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-27,62,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-28,63,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-29,68,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-30,84,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-31,58,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-01,64,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-02,74,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-03,70,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-04,67,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-05,80,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-06,74,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-07,59,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-08,54,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-09,54,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-10,59,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-11,58,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-12,70,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-13,82,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-14,68,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-15,62,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-16,58,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-17,57,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-18,62,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-19,72,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-20,78,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-21,70,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-22,65,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-23,69,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-24,84,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-25,89,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-26,93,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-27,99,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-28,85,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-29,74,hulu,world,2022-10-01 2022-12-07,web,0
2022-11-30,57,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-01,61,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-02,57,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-03,64,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-04,63,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-05,56,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-06,53,hulu,world,2022-10-01 2022-12-07,web,0
2022-12-07,53,hulu,world,2022-10-01 2022-12-07,web,0
2022-10-01,86,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-02,81,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-03,59,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-04,59,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-05,64,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-06,58,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-07,82,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-08,86,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-09,89,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-10,63,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-11,64,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-12,69,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-13,61,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-14,84,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-15,83,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-16,88,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-17,59,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-18,63,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-19,66,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-20,63,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-21,81,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-22,88,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-23,87,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-24,62,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-25,64,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-26,64,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-27,57,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-28,77,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-29,74,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-30,75,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-31,65,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-01,75,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-02,66,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-03,62,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-04,81,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-05,80,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-06,83,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-07,58,prime video,world,2022-10-01 2022-12-07,web,0
